start_lat,start_lng
40.45112,-85.15048
40.35429,-85.14993
40.72813,-84.78965
40.484222,-80.13755
38.82493,-85.474495
41.427586,-85.8495
41.47138,-85.83952
39.97527,-85.14018
39.98511,-85.14406
39.9672,-81.287
39.96392,-81.27197
39.43794,-82.53893
41.13613,-81.72196
40.27675,-85.49916
40.53491,-83.10678
40.52035,-83.10043
39.693165,-83.882744
35.69116,-121.2895
35.72088,-118.49953
35.72093,-118.49992
34.43678,-118.37233
34.432644,-118.383995
33.93327,-116.993164
30.270002,-90.942406
41.96388,-92.45762
48.00539,-97.8596
42.034607,-91.55018
33.50868,-94.61646
33.50515,-94.60787
44.783737,-93.25752
30.040838,-90.62532
30.0429,-90.62751
30.24189,-91.0505
30.219915,-91.00716
42.00713,-92.766846
42.007122,-92.76682
44.77629,-93.68094
45.09244,-92.78214
42.80378,-96.135376
42.801586,-96.146355
44.91243,-93.27501
37.605934,-104.82417
37.570004,-104.924965
44.117355,-94.20679
30.210093,-90.87959
38.896473,-104.7343
45.851234,-93.66229
44.86729,-93.62378
44.72476,-94.36602
30.19079,-90.85434
30.189552,-90.85626
42.76265,-104.45217
30.16669,-90.8811
30.17285,-90.87594
35.254753,-96.77518
30.195953,-90.8485
30.26035,-90.76854
30.296068,-90.796364
30.288162,-90.701256
30.17059,-90.87765
30.1556,-91.1157
39.85101,-75.40176
39.85965,-75.41075
39.85311,-75.40217
39.85929,-75.41031
41.75033,-87.66344
39.854218,-75.403114
39.85873,-75.40961
42.15386,-88.06286
42.19039,-88.13538
42.19341,-88.20919
41.899002,-87.68692
38.780743,-75.78769
34.06119,-84.41902
42.09297,-85.84882
33.74488,-84.39703
33.62464,-84.45815
40.173,-82.644226
40.174606,-82.640526
41.048508,-78.8244
41.044155,-78.82615
35.575893,-80.70907
35.581455,-80.7327
39.9572,-75.15872
39.790813,-75.05963
39.793324,-75.06151
40.52926,-74.3499
29.95374,-90.08315
41.7422,-87.70218
41.755253,-87.70256
41.74976,-87.70329
34.546444,-84.27826
36.188488,-82.97947
41.80529,-86.37843
41.80532,-86.35834
39.28236,-86.72278
39.283356,-86.726715
42.74105,-84.605446
41.18239,-79.2423
41.17994,-79.22895
41.53537,-80.94557
44.65877,-85.805786
44.65879,-85.76783
42.91281,-85.64708
41.805267,-76.84804
41.803085,-76.82942
39.874943,-77.32893
39.882713,-77.339165
39.879135,-77.33445
40.138664,-86.90465
40.1193,-86.90447
30.02169,-90.15391
41.7635,-87.9054
41.001747,-85.696175
41.00321,-85.55739
40.21927,-74.97934
40.22119,-74.96837
41.778545,-72.28457
41.772453,-72.29327
40.21927,-74.97934
40.221184,-74.968376
40.44094,-75.38939
35.14243,-85.24885
35.773308,-79.61625
41.87523,-87.69376
39.939083,-89.674194
39.959976,-89.679146
41.115074,-80.26957
41.11361,-80.260155
43.40384,-84.13091
39.7835,-75.10178
39.79034,-75.099884
41.46616,-72.67895
43.16512,-76.57218
43.169674,-76.57285
42.58363,-72.707504
42.19724,-88.009315
41.9392,-87.71965
42.200413,-87.906166
42.41516,-88.09212
42.46654,-88.01726
42.15363,-87.98498
42.19715,-88.01882
42.35964,-87.89237
41.762897,-87.93921
42.36001,-88.03327
41.940636,-88.15048
41.89501,-87.74512
41.79001,-87.63151
42.465683,-87.973236
40.48735,-79.69705
41.025185,-80.43253
41.02027,-80.43944
42.58097,-85.26644
42.591908,-85.26788
40.786816,-82.33954
41.030537,-81.215324
41.03158,-81.21158
41.78346,-87.6306
29.9731,-90.06014
42.716362,-86.04435
42.716763,-86.04475
42.46634,-88.079506
41.75811,-89.63158
41.81717,-87.922554
41.971283,-88.20694
40.127403,-83.98729
40.13323,-83.98675
41.81663,-87.92565
41.83146,-87.780525
40.820007,-75.23744
40.809235,-75.2438
38.893024,-77.54102
34.028656,-82.79317
43.231213,-75.092155
39.37919,-77.39863
42.99644,-76.56274
43.006176,-76.567314
40.75963,-73.99548
41.084824,-76.12167
41.11457,-76.12906
43.079876,-75.3921
44.79634,-73.56829
44.835697,-73.641136
42.834274,-71.69323
42.60873,-72.64404
42.85885,-78.67611
41.6694,-87.8232
42.74303,-71.59148
42.72677,-71.63549
45.064533,-84.8563
43.02914,-74.82154
43.553635,-75.4348
43.56135,-75.42743
38.085693,-84.490456
41.899002,-72.00498
41.89511,-72.05618
41.753838,-87.94486
41.93846,-87.64945
38.899876,-76.98144
38.898254,-77.630714
41.237823,-81.161064
41.23593,-81.14529
39.21584,-77.53463
39.174175,-77.53741
40.11744,-75.449005
40.114372,-75.46917
40.23516,-75.23999
39.85966,-75.0077
39.85957,-75.01007
44.682095,-70.15708
44.679737,-70.15685
43.10368,-78.69686
44.98609,-84.47333
45.014248,-84.54773
39.65104,-82.779594
39.65256,-82.75319
37.902428,-87.16501
42.9718,-85.73719
42.971832,-85.740005
41.67202,-86.42648
41.67201,-86.50661
39.08818,-84.47481
42.319942,-87.842476
40.8636,-73.86499
40.86395,-73.8645
40.70354,-75.12445
39.956944,-75.164375
35.856094,-84.71789
35.85027,-84.72541
40.03761,-82.58306
40.03295,-82.59351
42.24401,-83.73925
37.96187,-77.49096
33.74488,-84.39703
38.446217,-75.69733
43.54181,-76.19329
43.51374,-76.22322
41.738907,-77.65603
41.73834,-77.6356
41.7389,-77.656006
41.73834,-77.635605
41.892433,-87.64272
42.36796,-87.87995
42.370045,-87.881294
41.99015,-87.72863
42.36376,-87.83051
42.37753,-87.90545
42.37835,-87.93887
41.74571,-87.91538
42.353962,-88.09337
40.84425,-84.78435
40.84425,-84.78435
39.435715,-84.245
39.440437,-84.3229
41.37186,-83.85687
41.37175,-83.87311
40.98321,-80.35036
40.99701,-80.34518
43.418068,-88.3742
43.19006,-85.72025
41.3519,-76.5554
41.356655,-76.55736
43.03418,-76.06295
42.60904,-71.11895
42.627525,-71.11506
41.04466,-82.82081
41.04436,-82.80139
39.20048,-78.25088
42.31582,-74.07377
41.69495,-73.896736
42.35958,-87.88554
41.808147,-88.09151
42.31389,-88.00379
42.34431,-87.93649
42.44291,-87.8761
42.44207,-87.8761
41.90578,-87.96514
41.69236,-87.641685
40.01279,-75.75129
41.23975,-81.64453
41.239773,-81.641
38.56344,-90.2447
38.57773,-79.11185
38.544205,-79.06664
38.57773,-79.11185
36.366596,-83.01666
41.885597,-87.7258
42.26635,-88.07915
42.21209,-88.14128
42.37796,-88.17047
41.91744,-87.70204
41.903156,-87.70677
42.37796,-88.17047
41.6849,-87.65643
43.16398,-89.06688
43.13423,-89.07078
42.993233,-89.07184
41.388542,-73.61969
41.37629,-73.63447
41.82153,-87.6921
41.83028,-87.68503
39.96835,-75.575775
42.3056,-87.98218
40.72403,-73.56665
38.74056,-90.39667
42.2276,-87.97713
41.881214,-87.63967
41.85964,-88.03986
42.2276,-87.97713
41.8173,-87.699005
41.83092,-87.63153
39.76812,-86.14318
41.779285,-87.74232
36.82623,-79.42301
36.834377,-79.4394
42.09659,-80.08197
42.09659,-80.08197
43.009262,-77.66695
43.022022,-77.66809
33.745174,-82.74145
33.745167,-82.74141
39.970806,-74.8718
41.751358,-72.87144
41.74557,-72.863045
39.13079,-76.73883
39.128353,-76.73595
38.86812,-75.82478
39.895817,-74.94017
39.777996,-75.56727
39.773724,-75.57612
41.119038,-82.02409
41.09932,-82.0243
40.76552,-73.9721
40.660378,-73.86746
41.407604,-72.183105
41.42391,-72.20549
41.06828,-82.66643
41.05246,-82.66763
43.029285,-83.51796
41.863857,-78.00218
41.850433,-78.009285
43.22947,-73.84907
41.78451,-72.55541
42.50123,-76.60503
42.5084,-76.61473
43.122787,-90.36412
42.959854,-89.2817
42.96766,-89.28274
43.02226,-74.99361
43.01977,-75.02345
44.29251,-74.72071
41.86059,-87.9927
41.89117,-87.64829
41.8881,-88.1076
41.85264,-87.64708
40.999,-81.99626
41.02656,-81.99868
41.8601,-88.01667
42.204224,-88.11168
41.90232,-87.75032
41.87804,-87.64104
43.0077,-76.13209
41.8619,-87.92711
42.29627,-85.63862
40.85827,-76.77877
40.85952,-76.78555
40.62447,-74.14893
30.02169,-90.15391
39.84665,-75.42863
36.04333,-79.017265
26.364517,-81.34856
26.4051,-81.39378
40.01162,-75.72251
40.013268,-75.72961
35.95145,-78.9979
35.73308,-79.45742
35.73308,-79.45742
35.734993,-79.413284
39.482903,-84.142685
39.465675,-84.16323
40.87014,-74.187546
40.889683,-72.50415
42.11522,-75.88962
42.893726,-76.10555
43.15003,-77.85627
43.168922,-77.85522
41.79626,-88.1191
41.79602,-88.11907
42.056633,-84.141685
42.05786,-84.13621
42.229763,-88.1451
41.889366,-88.03364
42.46634,-88.079506
41.85963,-88.040405
42.009167,-88.16001
42.298347,-71.42367
41.94842,-87.72163
42.91136,-85.07485
42.9003,-85.07494
34.899624,-84.36666
29.910086,-90.204926
42.690792,-71.205154
29.938147,-90.06675
29.939726,-90.068245
31.137243,-83.72173
31.137438,-83.72193
39.1408,-75.92564
29.89342,-90.11969
39.19974,-75.90066
37.664078,-82.78842
31.133211,-83.77122
